#{"t_start": 1788836063.877425, "env_id": "None"}
r,l,t
-6.895831,24,1.502333
-5.314806,24,1.518543
-6.360118,24,1.547313
-12.952825,24,1.565283
-6.303748,24,1.584674
-5.69169,24,1.602915
-6.332729,24,1.619696
-10.209903,24,1.642375
-5.71025,24,1.666614
-7.576887,24,1.689723
-6.228372,24,1.709374
-5.572994,24,1.727469
-6.968638,24,1.745467
-5.2782,24,1.762239
-12.528264,24,1.779746
-7.43848,24,1.79753
-10.847942,24,1.81528
-6.075533,24,1.833896
-7.018977,24,1.860691
-6.327906,24,1.88067
-20.689902,24,1.903793
-6.745098,24,1.920831
-5.685766,24,1.945136
-5.447773,24,1.962609
-5.708018,24,1.979299
-6.52377,24,1.998228
-10.079964,24,2.015794
-5.703892,24,2.033866
-5.808621,24,2.051362
-5.74493,24,2.068378
-6.313731,24,2.08514
-5.211443,24,2.107276
-8.562017,24,2.135353
-5.899036,24,2.153871
-19.320646,24,2.17257
-5.659963,24,2.213187
-5.801574,24,2.240667
-7.194976,24,2.261362
-6.134478,24,2.281295
-6.671104,24,2.300613
-6.901885,24,2.321028
-4.943941,24,2.340731
-5.61643,24,2.761471
-5.814086,24,2.779569
-6.343404,24,2.796989
-6.109083,24,2.813704
-5.641778,24,2.831608
-6.2511,24,2.848011
-5.969997,24,2.864478
-5.053214,24,2.880044
-7.52727,24,2.897375
-5.573328,24,2.91411
-7.75159,24,3.217236
-18.600726,24,3.241184
-6.192016,24,3.259174
-5.349566,24,3.282638
-8.888998,24,3.300834
-6.861805,24,3.319337
-4.918064,24,3.336807
-5.897413,24,3.352969
-5.490717,24,3.369748
-5.436946,24,3.387836
-6.429746,24,3.406141
-5.344321,24,3.424757
-6.994059,24,3.445514
-5.528587,24,3.462714
-5.287133,24,3.479201
-7.14653,24,3.498303
-5.795489,24,3.522999
-6.045059,24,3.544663
-7.44313,24,3.569169
-5.329175,24,3.595746
-5.7972,24,3.651306
-6.013959,24,3.695612
-6.549313,24,3.719308
-5.950675,24,3.739918
-5.375566,24,3.758337
-4.855061,24,3.776988
-6.082077,24,3.793667
-6.606276,24,3.809385
-5.582947,24,3.827879
-5.908919,24,3.844532
-6.835827,24,3.861727
-6.678982,24,3.878815
-6.230672,24,3.89446
-6.048558,24,4.502333
-7.859195,24,4.533723
-5.910603,24,4.552551
-4.917281,24,4.569881
-6.230524,24,4.590783
-5.777151,24,4.607204
-7.250666,24,4.625896
-9.833148,24,4.642569
-13.975129,24,4.658995
-6.173072,24,4.676236
-5.708249,24,4.693638
-5.126274,24,4.725976
-6.730135,24,4.750077
-6.138687,24,4.76854
-5.969783,24,4.78615
-6.592098,24,4.803739
-4.808194,24,4.82167
-6.927767,24,4.838558
-6.336462,24,4.853987
-6.782014,24,4.869827
-16.97526,24,4.885673
-5.363406,24,4.901598
-6.269754,24,4.919141
-11.979511,24,4.937121
-5.329247,24,4.956346
-5.502126,24,4.973523
-4.814138,24,4.989292
-5.639896,24,5.005784
-5.808232,24,5.023864
-6.779142,24,5.041216
-6.081468,24,5.061159
-5.347979,24,5.076946
-6.17134,24,5.092945
-4.802308,24,5.125533
-6.870271,24,5.147002
-5.896487,24,5.1655
-6.613112,24,5.18448
-8.97288,24,5.208255
-5.448844,24,5.22959
-6.384306,24,5.251539
-8.741715,24,5.270676
-15.666428,24,5.289151
-5.055504,24,5.306516
-6.558323,24,5.688067
-6.416068,24,5.709588
-5.373595,24,5.728774
-5.471318,24,5.745608
-6.085758,24,5.778486
-5.869235,24,5.798625
-7.213105,24,5.816549
-5.653252,24,5.834544
-7.090579,24,5.85208
-5.779647,24,5.868269
-12.445374,24,5.884176
-6.01874,24,5.899663
-20.204997,24,5.915511
-5.269158,24,5.932671
-5.865218,24,5.951957
-10.148616,24,5.970116
-6.055212,24,5.98685
-7.186173,24,6.004831
-5.407327,24,6.022296
-5.471755,24,6.041266
-6.34203,24,6.059708
-6.243265,24,6.078784
-7.047525,24,6.095172
-15.067539,24,6.112293
-4.920175,24,6.131856
-6.026136,24,6.149571
-6.245669,24,6.168368
-6.413345,24,6.188632
-6.122781,24,6.209696
-5.595616,24,6.229466
-7.502197,24,6.248079
-4.519104,24,6.269284
-9.051391,24,6.287441
-6.12736,24,6.305349
-6.417868,24,6.325176
-6.823758,24,6.342908
-6.8682,24,6.358558
-6.475454,24,6.399126
-8.519277,24,6.487915
-5.333049,24,6.553512
-6.137967,24,6.573917
-6.867127,24,6.595837
