#{"t_start": 1788836281.0416863, "env_id": "None"}
r,l,t
-5.774282,24,1.398529
-4.571286,24,1.408624
-6.104599,24,1.418366
-6.085438,24,1.430099
-6.175899,24,1.440848
-5.767759,24,1.453594
-6.069449,24,1.467087
-6.089124,24,1.476776
-5.579095,24,1.486924
-5.750763,24,1.496319
-5.118901,24,1.50808
-6.068111,24,1.518992
-6.520165,24,1.531302
-5.047055,24,1.541844
-6.903243,24,1.551875
-6.402282,24,1.563406
-6.654083,24,1.574066
-5.877163,24,1.583623
-6.659517,24,1.598174
-6.352883,24,1.61032
-7.927111,24,1.62126
-6.929026,24,1.633834
-5.332389,24,1.643657
-5.314209,24,1.656796
-5.550137,24,1.669357
-5.940873,24,1.679599
-6.977041,24,1.689474
-6.067215,24,1.699604
-5.360912,24,1.709563
-6.014515,24,1.741345
-5.459626,24,1.763279
-5.009267,24,1.781643
-5.977303,24,1.791779
-5.17327,24,1.80152
-5.936149,24,1.811574
-5.851048,24,1.824229
-9.6345,24,1.834613
-5.832882,24,1.845334
-6.852025,24,1.859341
-5.854919,24,1.872859
-6.84157,24,1.883574
-5.630472,24,1.89306
-5.556439,24,1.986346
-10.003878,24,2.153438
-5.897623,24,2.322977
-5.487899,24,2.490697
-5.808633,24,2.655211
-5.523613,24,2.85506
-6.533519,24,3.242561
-4.504997,24,3.579407
-4.697826,24,3.740564
-5.455008,24,3.940963
-6.624604,24,4.231929
-6.133697,24,4.422919
-6.530064,24,4.689293
-4.996393,24,4.95069
-5.448403,24,5.228858
-6.683917,24,5.385598
-4.701735,24,5.533265
-5.921458,24,5.693391
-4.689107,24,5.854725
-5.708085,24,6.000557
-6.766299,24,6.158964
-5.483708,24,6.312599
-7.030547,24,6.469582
-5.370591,24,6.629364
-5.198521,24,6.77687
-6.733933,24,6.92531
-6.231762,24,7.076736
-5.958732,24,7.238477
-7.015196,24,7.398491
-5.19823,24,7.543717
-5.631012,24,7.702388
-5.638443,24,7.853045
-5.744695,24,7.995786
-5.61243,24,8.157902
-5.81581,24,8.322552
-5.302565,24,8.478402
-5.471805,24,8.63767
-5.552438,24,8.784172
-5.818762,24,8.932679
-5.693571,24,9.084185
-6.752269,24,9.247646
-5.856323,24,9.412383
-5.954545,24,9.564988
